audio	text
files/tacotron_wn/sus_2013_0166.wav	The slow gorilla prays within the heads.
files/tacotron_wn/sus_2013_0095.wav	The lights pressed an art that speaks.
files/tacotron_wn/sus_2013_0178.wav	How could the bath surprise the dollar?
files/tacotron_wn/sus_2013_0125.wav	The toes bought a tooth that travels.
files/tacotron_wn/sus_2013_0017.wav	The band that went rolls the eggs.
files/tacotron_wn/sus_2013_0180.wav	Hire the alert time against a pear.
files/tacotron_wn/sus_2013_0026.wav	An exact thumb aches over the clocks.
files/tacotron_wn/sus_2013_0016.wav	The true hair appears by the guitars.
files/tacotron_wn/sus_2013_0141.wav	The days grew without a fat ground.
files/tacotron_wn/sus_2013_0115.wav	The thumbs surprised the garage that flows.
files/tacotron_wn/sus_2013_0064.wav	When did jars fry chairs?
files/tacotron_wn/sus_2013_0032.wav	The class allows a new friend.
files/tacotron_wn/sus_2013_0020.wav	Buy a casual park above an earth.
files/tacotron_wn/sus_2013_0124.wav	Where might criticisms spend voices?
