audio	text
files/fastpitch_wg/booksent_2013_0005.wav	Still, all this while, nothing more passed between us save that Flora had let her foolish fern again drop to the ground.
files/fastpitch_wg/booksent_2013_0012.wav	He was soon at some distance from me, still breathing hard and again with the air, though now without anger for it, of being confined against his will.
files/fastpitch_wg/booksent_2013_0059.wav	But there seemed to be no chance of this, so she began looking at everything about her, to pass away the time.
files/fastpitch_wg/booksent_2013_0076.wav	She dropped into her low chair by the tea-table, and the two visitors, as if drawn by her smile, advanced to receive the cups she held out.
files/fastpitch_wg/booksent_2013_0086.wav	He laid aside the great, soft fan, and obediently stole away, over the polished floor, on his bare tiptoes.
files/fastpitch_wg/booksent_2013_0068.wav	If there had been any element of passion in the transaction he would have felt less deteriorated by it.
files/fastpitch_wg/booksent_2013_0060.wav	This of course, Alice could not stand, and she went round the court and got behind him, and very soon found an opportunity of taking it away.
files/fastpitch_wg/booksent_2013_0055.wav	She had quite forgotten the Duchess by this time, and was a little startled when she heard her voice close to her ear.
files/fastpitch_wg/booksent_2013_0097.wav	But the Tin Woodman set to work with his axe and chopped so well that soon he cleared a passage for the entire party.
files/fastpitch_wg/booksent_2013_0042.wav	He understood what the rocks said deep under the earth when they bowed in towards each other and groaned.
files/fastpitch_wg/booksent_2013_0006.wav	She had already got back her gaiety, and appeared to take this as an answer quite sufficient.
files/fastpitch_wg/booksent_2013_0051.wav	Once a covey of partridges rose with a sudden whir and flew away, and then he shouted and clapped his hands.
files/fastpitch_wg/booksent_2013_0018.wav	With a mind thus full of happiness, Catherine was hardly aware that two or three days had passed away, without her seeing Isabella for more than a few minutes together.
files/fastpitch_wg/booksent_2013_0020.wav	That he should think it worth his while to fancy himself in love with her was a matter of lively astonishment.
files/fastpitch_wg/booksent_2013_0079.wav	After doing this she crossed straight over to the shoe department and took her seat to be fitted.
