audio	text
files/K/booksent_2013_0036.wav	Not always was the Kangaroo as now we do behold him, but a Different Animal with four short legs.
files/K/booksent_2013_0040.wav	He didn't even begin to be tame till he met the Woman, and she told him that she did not like living in his wild ways.
files/K/booksent_2013_0015.wav	To have her acquaintance with the Tilneys end so soon was an evil which nothing could counterbalance.
files/K/booksent_2013_0064.wav	There was a table set out under a tree in front of the house, and the March Hare and the Hatter were having tea at it.
files/K/booksent_2013_0038.wav	And he had a friend, a Slow-Solid Tortoise, who lived on the banks of the turbid Amazon, eating green lettuces and things.
files/K/booksent_2013_0014.wav	At the end of the first dance, Captain Tilney came towards them again, and, much to Catherine's dissatisfaction, pulled his brother away.
files/K/booksent_2013_0056.wav	Alice looked up, and there stood the Queen in front of them, with her arms folded, frowning like a thunderstorm.
files/K/booksent_2013_0027.wav	Half closing her eyes and tipping back her head till it rested on the seat-back she let the savory breeze fan her eyes and ripple the fluffy curls of her bobbed hair.
files/K/booksent_2013_0019.wav	To doubt her truth or good intentions was impossible; and yet, during the whole of their conversation her manner had been odd.
files/K/booksent_2013_0010.wav	I have likened it to a sentinel, but its slow wheel, for a moment, was rather the prowl of a baffled beast.
files/K/booksent_2013_0062.wav	They were just beginning to write this down on their slates, when the White Rabbit interrupted
files/K/booksent_2013_0091.wav	Within a short time she was walking briskly toward the Emerald City, her silver shoes tinkling merrily on the hard, yellow road-bed.
files/K/booksent_2013_0013.wav	He could not be accountable for his children's want of spirits, or for her want of enjoyment in his company.
files/K/booksent_2013_0037.wav	In the very middle of those times was a Stickly-Prickly Hedgehog, and he lived on the banks of the turbid Amazon, eating shelly snails and things.
files/K/booksent_2013_0036.wav	Not always was the Kangaroo as now we do behold him, but a Different Animal with four short legs.
