audio	text
files/fastpitch_wn/booksent_2013_0032.wav	On a tall hill outlined in vivid glaring green against the wintry sky stood the ice palace.
files/fastpitch_wn/booksent_2013_0080.wav	There were books and magazines piled up in the window of a stall a few paces down the street.
files/fastpitch_wn/booksent_2013_0083.wav	Big, solemn oaks grew close to it, and their thick-leaved, far-reaching branches shadowed it like a pall.
files/fastpitch_wn/booksent_2013_0048.wav	Their mother stood courtesying and smiling, and the children, on receiving a sign from her, made bobbing little courtesies too.
files/fastpitch_wn/booksent_2013_0078.wav	Then she replaced her shoes, rolled the cotton stockings together and thrust them into her bag.
files/fastpitch_wn/booksent_2013_0002.wav	David playing to Saul could never have shown a finer sense of the occasion.
files/fastpitch_wn/booksent_2013_0061.wav	They had a large canvas bag, which tied up at the mouth with strings: into this they slipped the guinea-pig, head first, and then sat upon it.
files/fastpitch_wn/booksent_2013_0073.wav	He opened his cigar-case and held it out to his visitor, and Haskett's acceptance seemed to mark a fresh stage in their intercourse.
files/fastpitch_wn/booksent_2013_0075.wav	The three men stood awkwardly before her, till Varick, always the most self-possessed, dashed into an explanatory phrase.
files/fastpitch_wn/booksent_2013_0035.wav	They had just walked off and hidden themselves in the shadowy forest.
files/fastpitch_wn/booksent_2013_0033.wav	She looked round the empty chamber; the rest of the party had evidently decided to go home, were already outside somewhere in the blundering snow.
files/fastpitch_wn/booksent_2013_0096.wav	is head and arms and legs were jointed upon his body, but he stood perfectly motionless, as if he could not stir at all.
files/fastpitch_wn/booksent_2013_0085.wav	The blood turned like ice in her veins, and a clammy moisture gathered upon her face.
files/fastpitch_wn/booksent_2013_0087.wav	She stayed motionless, with gaze riveted upon her child, and her face the picture of fright.
files/fastpitch_wn/booksent_2013_0016.wav	The past suspense of the morning had been ease and quiet to the present disappointment.
